FECHA;IDENTIFICACION;ID_POST;TITULAR;COMENTARIOS;ARCHIVO
03/07/2021;69;posts/3676247929141794;España ha superado esta semana los 18 millones de personas con la pauta completa de vacunación. El 54,7% de la población cuenta con, al menos, una dosis de #VacunaCOVID19 ;2100;20210703-SinProcesar.csv
05/07/2021;70;posts/3682270575206196;Hoy se distribuyen más de 1.745.000 nuevas dosis de la #VacunaCOVID19 de Pfizer/BioNTech entre las comunidades y ciudades autónomas ;1800;20210705a-SinProcesar.csv
05/07/2021;71;posts/3682840345149219;España supera ya los 19 millones de personas con la pauta completa de vacunación frente a la COVID-19. Más del 40% de la población.;998;20210705b-SinProcesar.csv
12/07/2021;72;posts/3700733166693270;Hoy se distribuyen entre las #CCAA más de 1.745.000 nuevas dosis de la #VacunaCOVID19 de #Pfizer/BioNTech ;1800;20210712a-SinProcesar.csv
12/07/2021;73;posts/3700681606698426;Puedes escribirlo de mil maneras, pero solo hay una de hacerlo. No le des más vueltas. Cuando te toque #Vacúnate;549;20210712b-SinProcesar.csv
16/07/2021;74;posts/3711498565616730;Hoy se distribuyen entre las #CCAA un total de 474.000 nuevas dosis de la #VacunaCOVID19 de #Moderna ;2400;20210716-SinProcesar.csv
19/07/2021;75;posts/3720325961400657;Carolina Darias subraya el papel clave de la #VacunaCOVID19 en el proceso de recuperación y transformación que necesita España.;767;20210719a-SinProcesar.csv
19/07/2021;76;posts/3720739698025950;El 50% de la población, una de cada dos personas en nuestro país, cuenta ya con la pauta completa de vacunación frente al #COVID19 ;441;20210719b-SinProcesar.csv
19/07/2021;77;posts/3719737594792827;Hoy se distribuyen entre las Comunidades y Ciudades Autónomas más de 1.745.000 nuevas dosis de la vacuna contra la COVID-19 de Pfizer/BioNTech. ;2600;20210719c-SinProcesar.csv
22/07/2021;78;posts/3729377640495489;Más de 25 millones de personas cuentan ya con la pauta completa de vacunación frente a la #COVID19 en nuestro país. Más de 30 millones de personas cuentan con, al menos, una dosis. Seguimos avanzando hacia la inmunidad comunitaria, hito tras hito.;2400;20210722-SinProcesar.csv
26/07/2021;79;posts/3739832286116691;Hoy se distribuyen más de 1.745.000 nuevas dosis de #VacunaCOVID19 de #Pfizer/BioNTech entre las comunidades y ciudades autónomas.;2500;20210726-SinProcesar.csv
09/08/2021;80;posts/3781180571981862;El 60% de la población cuenta ya con la pauta completa de vacunación frente a la #COVID19 ;1600;20210809-SinProcesar.csv
